id,name,hrID
8445923,Babe Donnelly,donneba01
8445917,Jack Capuano,capuaja01
8445919,Frank Caprice,caprifr01
8445918,Dave Capuano,capuada01
8445920,Terry Carkner,carknte01
8445914,Fred Doherty,doherfr01
8445888,Al Dewsbury,dewsbal01
8445909,Bill Dineen,dineebi01
8445910,Gary Dineen,dineega01
8445931,Steve Carlson,carlsst01
8445932,Jack Carlson,carlsja01
8445906,Bob Dillabough,dillabo01
8445908,Cecil Dillon,dilloce01
8445900,Scott Campbell,campbsc01
8445904,Bob Dill,dillbo01
8445902,Ernie Dickens,dickeer01
8445905,Dom Campedelli,campedo01
8445901,Wade Campbell,campbwa01
8445373,Rick Chinnick,chinnri01
8445903,Herb Dickenson,dickehe01
8445899,Harry Dick,dickha01
8445898,Edward Diachuk,diached01
8445926,John Doran,doranjo01
8445889,Michel Deziel,deziemi01
8445893,Colin Campbell,campbco01
8445891,Marcel Dheere,dheerma01
8445883,Gerard Desaulniers,desauge01
8445861,Jock Callander,callajo01
8445887,Tommy Dewar
8445886,Jacques Deslauriers,deslaja01
8445882,Gerry Denoird,denoige01
8445884,Joffre Desilets,desiljo01
8445455,Ken Berry,berryke01
8445586,Robert Boileau
8445863,Armand Delmonte,delmoar01
8445870,Tony Camazzola,camazto01
8445767,Jack Crawford,crawfja01
8445635,Donald Boyd
8445844,Jack Darragh,darraja01
8445838,Cully Dahlstrom,dahlscu01
8445842,Hank Damore
8445847,Gord Davidson,davidgo01
8445837,Jean Cusson,cussoje01
8445939,Lloyd Doran,doranll01
8445947,Dave Downie,downida01
8445940,Ken Doraty,doratke01
8445946,Les Douglas,douglle01
8445945,Kent Douglas,douglke01
8445952,Clarence Drouillard,drouicl01
8445936,Kent Carlson,carlske01
8445629,Phil Bourque,bourqph01
8445512,Charlie Conacher,conacch01
8445514,Lionel Conacher,conacli01
8445511,Brian Conacher,conacbr01
8445513,Jimmy Conacher
8445493,James Black,blackja01
8445509,Neil Colville,colvine01
8445508,Mac Colville,colvima01
8445506,Gary Collins,colliga01
8445501,Gary Coalter,coaltga01
8445505,Bill Collins,collibi01
8445499,Bruce Cline,clinebr01
8445504,Norm Collings,collino01
8445507,Bob Collyard,collybo01
8445500,Wally Clune,clunewa01
8445510,Les Colwill,colwile01
8445503,Hugh Coflin,coflihu01
8445491,Wayne Bishop
8445555,Jeff Bloemberg,bloemje01
8445477,Todd Bidner,bidneto01
8445488,Nobby Clark,clarkno01
8445479,Robert Bilodeau
8445489,Tom Bissett,bisseto01
8445492,Scott Bjugstad,bjugssc01
8445481,Gilles Bilodeau,bilodgi01
8445474,Dit Clapper,clappdi01
8445471,King Clancy,clancki01
8445473,Terry Clancy,clancte01
8445659,Philippe Bozon,bozonph01
8445603,Laurie Boschman,boschla01
8445605,Jack Borotsik,borotja01
8445862,Nelson Debenedet,debenne01
8445617,Bob Bourne,bournbo01
8445662,Steve Bozek,bozekst01
8445666,Curt Brackenbury,brackcu01
8445657,Neil Brady,bradyne01
8445679,Lance Breault
8445677,Per-Olov Brasar,brasape01
8445692,Stephane Brochu
8445885,Vic Desjardins,desjavi01
8445165,Milt Brink,brinkmi01
8445152,John Brackenborough,brackjo01
8445154,Lyle Bradley,bradlly01
8445156,Russ Brayshaw,braysru01
8445163,Michel Briere,briermi01
8445160,John Brenneman,brennjo01
8445155,Andy Branigan,branian01
8445158,Bob Attwell,attwebo01
8445727,Jiri Bubla
8445867,Ab Demarco Jr.
8445643,Rick Bowness,bowneri01
8445550,Rob Blake,blakero01
8445648,Baldy Cotton,cottoba01
8445543,Joe Cooper,coopejo02
8445545,Michel Blais
8445710,Larry Brown,brownla01
8446089,Jacques Cloutier,cloutja01
8446098,Bobby Clarke,clarkbo01
8446097,Michael Clayton
8446095,Gordie Clark,clarkgo01
8446090,Raymond Clearwater
8446729,Buster Harvey,harvebu01
8446726,Ed Harrison,harried01
8446733,Todd Ewen,ewento01
8446727,Gizzy Hart,hartgi01
8446730,Hugh Harvey,harvehu01
8446743,Dean Evason,evasode01
8446736,Chris Evans,evansch01
8446734,Shawn Evans,evanssh01
8446735,Doug Evans,evansdo01
8446737,Daryl Evans,evansda01
8446751,Jim Hay,hayji01
8446749,Bill Hay,haybi01
8446728,Doug Harvey,harvedo01
8446748,Gordie Haworth
8446750,George Hay,hayge01
8446753,Paul Haynes,haynepa01
8446755,Fern Headley,headlfe01
8446754,Galen Head,headga01
8446752,Chris Hayes,hayesch01
8446747,Ed Hatoum,hatoued01
8446745,Bob Hassard,hassabo01
8446766,Ott Heller,helleot01
