id,name
8446759,Rich Healey
8446786,Art Herchenratter
8446741,John Paul Evans
8446787,Fred Hergerts
8446784,Camille Henry
8446795,Dave Feamster
8446780,Mario Faubert
8446788,Sergei Fedorov
8446785,Jimmy Herberts
8446778,Glen Featherstone
8446782,Ted Fauss
8446771,Tony Hemmerling
8446823,Ray Ferraro
8446783,John Hendrickson
8446791,Brent Fedyk
8446777,Murray Henderson
8446819,Mike Fidler
8446830,Tom Fitzgerald
8446827,Bob Fitchner
8446826,Jeff Finley
8446779,Chris Felix
8446794,Doug Favell
8446793,Glen Fester
8446831,Stephane Fiset
8446825,Steven Finn
8446829,Mark Fitzpatrick
8446828,Ross Fitzpatrick
8446792,Mark Ferner
8446832,Craig Fisher
8446838,Patrick Flatley
8446059,Gerald Ciarcia
8446835,Phil Hergesheimer
8446057,Guy Chouinard
8446039,Todd Charlesworth
8446035,Blair Chapman
8446036,Guy Carbonneau
8446034,Frantisek Cernik
8446037,Milan Chalupa
8446065,Steve Christoff
8446077,Kim Clackson
8446062,Joe Cirella
8446071,Shane Churla
8446068,Ron Chipperfield
8446079,Dave Christian
8446027,Rory Cava
8446063,Dino Ciccarelli
8446029,John Chabot
8446004,Garry Edmundson
8446087,Chris Clifford
8446085,Wendel Clark
8446011,Jon Casey
8446007,Lindsay Carson
8446047,Rick Chartraw
8446045,Colin Chisholm
8446050,Jeff Chychrun
8446002,Wayne Cashman
8446003,Andrew Cassels
8446042,Shawn Chambers
8446054,Richard Chernomaz
8446043,Jose Charbonneau
8446053,Chris Chelios
8446052,Alain Chevrier
8446009,Ed Cristofoli
8446044,Guy Charron
8446051,Steve Chiasson
8446074,Dan Chicoine
8446048,Dave Chartier
8446076,Jiri Crha
8446072,Christopher Cichocki
8446014,Paul Cavallini
8446013,Jay Caufield
8446084,Neal Coulter
8446018,Bruce Cassidy
8446058,Mike Christie
8446017,Gino Cavallini
8446026,Tom Chorske
8446019,Tony Cassolato
8446023,Dave Chyzowski
8446061,Marc Chorney
8446083,Robert Cimetta
8446101,Real Cloutier
8446099,Rejean Cloutier
8446104,Roland Cloutier
8446120,Rey Comeau
8446117,Paul Coffey
8446111,Glen Cochrane
8446100,Bill Clement
8446181,Sylvain Cote
8446264,Paul Cyr
8446257,Jim Culhane
8446269,Glen Currie
8446262,John Cunniff
8446149,Joe Contini
8446186,Trevor Fahey
8446261,Randy Cunneyworth
8446324,Reg Fleming
8446317,Richard David
8446094,Dan Clark
8446127,Danton Cole
8446265,Tony Curtale
8446230,Bob Fillion
8446253,Gary Croteau
8446125,Kelly Chase
8446252,Troy Crowder
8446251,John Cullen
8446311,Dan Daoust
8446316,Cleon Daskalakis
